seq_id,mean_n_hydrophobic,std_n_hydrophobic,occ_n_hydrophobic_gt0,mean_n_polar,std_n_polar,occ_n_polar_gt0,mean_n_pos_charged,std_n_pos_charged,occ_n_pos_charged_gt0,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,mean_n_other,std_n_other,occ_n_other_gt0,mean_n_total,std_n_total,occ_n_total_gt0,mean_frac_hydrophobic,std_frac_hydrophobic
bind_022_binder,11.184723241216272,1.6475404677405974,1.0,1.34719165240075,0.6348683790202566,0.991929567131328,3.392271949131817,0.7083097693361701,1.0,0.9307084046629168,0.2796167916493747,0.9238607646531344,0.0,0.0,0.0,16.854895247411754,2.284517368885235,1.0,0.6638261010583799,0.0437049850169537
bind_019_binder,13.71851308388359,1.5148251292818409,1.0,1.4556941387462297,0.6012588194476037,0.991358930463846,2.293470286133529,0.552716006731408,1.0,0.351186109073123,0.4797259348181324,0.3500448357381593,0.0,0.0,0.0,17.81886361783647,1.7992397821923238,1.0,0.7701841293695799,0.041392581884709
bind_020_binder,13.28939430993723,1.5658333901056156,1.0,2.558816336512595,0.5964702847754034,1.0,1.4406945463438494,0.5230175380520845,1.0,0.2694220265753648,0.4436595521020461,0.2694220265753648,0.0,0.0,0.0,17.55832721936904,2.093809889369109,1.0,0.7579746239060015,0.0408113012728506
nonb_006_nb,15.831743702616777,1.5764716360038211,1.0,0.3725442243417298,0.5424412521226848,0.343034156680525,2.094725686801989,0.854448973416686,1.0,0.0029347028613352,0.0540933487635121,0.0029347028613352,0.0,0.0,0.0,18.301948316621832,1.6338311945603925,1.0,0.8655113773898271,0.0489272274105601
nonb_008_nb,11.811037743539575,1.335776237550594,1.0,3.4271623053721365,0.52036613830803,1.0,2.992011086655254,0.1057632807989399,1.0,0.8619874459933154,0.3617553585455642,0.8560365207467189,0.0,0.0,0.0,19.09219858156028,1.4768870484008003,1.0,0.6174249781239745,0.0352934993376304
nonb_009_nb,14.239830439390234,1.5312941358343035,1.0,0.2366511779571207,0.5158292925019432,0.1962174940898345,2.4616450639928265,0.8528625812081885,0.9961685823754788,0.0023640661938534,0.0485641574093951,0.0023640661938534,0.0,0.0,0.0,16.940490747534035,1.8588084920191303,1.0,0.8426266342654857,0.0562477963948528
pair_3069_binder,11.163609684519445,1.315812845218903,0.999429363332518,2.067498165810712,0.304059584759478,0.9993478438085922,2.5026493845275946,0.645207570918557,0.9993478438085922,0.0009782342871117,0.0337685710779008,0.0008967147631857,0.0,0.0,0.0,15.73473546914486,1.537467955145724,0.999510882856444,0.7085464300491005,0.0422605039537138
pair_3070_binder,12.02127659574468,1.6538624519304772,1.0,2.290291024700416,0.6406817553865234,0.999510882856444,2.6332436618570148,0.5984248252843852,1.0,0.1902665688432379,0.3925114031768496,0.1902665688432379,0.0,0.0,0.0,17.13507785114535,2.081473633170367,1.0,0.7010440717049781,0.0382195157698809
pair_3074_binder,11.128230211135566,1.3204715271591312,1.0,3.024618896225646,0.8222949577749574,1.0,2.7334311567620446,0.6002852425564582,0.999918480476074,0.024700415749572,0.1552105190100539,0.024700415749572,0.0,0.0,0.0,16.91098067987283,1.572383094419414,1.0,0.6578175819931876,0.0464468461285355
pair_3092_binder,12.795059916850086,1.2851650444221834,1.0,2.0091301866797098,0.5455510435045227,1.0,2.7340833129534525,0.6228299584619814,1.0,0.0248634547974239,0.1557089060168378,0.0248634547974239,0.0,0.0,0.0,17.563136871280673,1.6058569152171496,1.0,0.7286444610157411,0.0339453184935603
