seq_id,mean_n_hydrophobic,std_n_hydrophobic,occ_n_hydrophobic_gt0,mean_n_polar,std_n_polar,occ_n_polar_gt0,mean_n_pos_charged,std_n_pos_charged,occ_n_pos_charged_gt0,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,mean_n_other,std_n_other,occ_n_other_gt0,mean_n_total,std_n_total,occ_n_total_gt0,mean_frac_hydrophobic,std_frac_hydrophobic
bind_019_binder,16.228571428571428,1.5144204791784552,1.0,1.5616071428571427,0.6544825567513903,0.9235714285714286,1.7492857142857143,0.7355752295770616,1.0,0.8698214285714285,0.3364997934165603,0.8698214285714285,0.0,0.0,0.0,20.40928571428572,1.7091098948438224,1.0,0.7959953638244409,0.0491950270403105
bind_020_binder,13.752678571428572,1.2657902543914,1.0,3.065714285714286,0.7894185408597021,1.0,1.0630357142857143,0.2621165201834123,0.9989285714285714,0.0258928571428571,0.1588156701709146,0.0258928571428571,0.0,0.0,0.0,17.90732142857143,1.5484381429033447,1.0,0.7683885475718321,0.0365024459698064
bind_022_binder,14.035535714285714,1.7197346344742273,1.0,2.5026785714285715,1.017345971267937,0.9883928571428572,2.954107142857143,0.2581546932814999,1.0,1.00125,0.0353332350627564,1.0,0.0,0.0,0.0,20.49357142857143,2.213100950324348,1.0,0.6849846607330357,0.0412640095342211
bind_034_binder,13.223928571428573,1.3990553937918109,1.0,3.4114285714285715,0.5526023776234609,1.0,0.9485714285714286,0.4121348105181317,0.8892857142857142,0.0001785714285714,0.0133618689118074,0.0001785714285714,0.0,0.0,0.0,17.584107142857142,1.5399666935008165,1.0,0.7514720337731501,0.0352902058622085
bind_041_binder,14.232857142857142,1.5088047709146115,1.0,1.5298214285714289,0.9844341940414094,0.82875,1.1555357142857143,0.58424682786246,0.9133928571428572,0.2033928571428571,0.5016642900874844,0.1585714285714285,0.0,0.0,0.0,17.121607142857144,1.7477631385632346,1.0,0.8326372055824005,0.0549745129628385
bind_043_binder,14.288214285714286,1.4267108866485994,1.0,1.3285714285714283,0.5671716437458661,0.9591071428571428,2.653035714285714,0.9952430062962676,0.9992857142857144,0.3664285714285714,0.4818284689278828,0.3664285714285714,0.0,0.0,0.0,18.63625,2.175350597769078,1.0,0.7695227189369731,0.0475600242721112
bind_069_binder,17.506071428571428,1.2418156042255062,1.0,1.04375,0.2080012233823913,1.0,1.4617857142857142,0.5509443423498847,1.0,0.0214285714285714,0.148461497791618,0.0208928571428571,0.0,0.0,0.0,20.033035714285717,1.3052701138664982,1.0,0.8739653583061473,0.029208386925439
bind_076_binder,13.584285714285716,1.7420337633504872,1.0,5.398571428571429,0.8556940135924519,1.0,1.3355357142857145,0.7013416215747225,0.9214285714285714,0.0010714285714285,0.0327151434697281,0.0010714285714285,0.0,0.0,0.0,20.31946428571429,2.364902534719875,1.0,0.6690461064559897,0.044948905468352
bind_080_binder,15.038035714285714,1.277196874357022,1.0,1.3282142857142858,0.5676930355861882,0.9921428571428572,2.2703571428571427,0.8669197612518588,0.9978571428571428,0.3241071428571428,0.4680402790424371,0.3241071428571428,0.0,0.0,0.0,18.960714285714285,1.671256859311554,1.0,0.7947003923938195,0.0470786981066876
bind_083_binder,16.09767857142857,1.499259925848451,1.0,1.3378571428571429,0.8140259610762561,0.89375,2.0116071428571427,0.6848156080959581,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.447142857142858,1.7621189702475035,1.0,0.8293718769547033,0.055629566173808
bind_088_binder,12.666964285714286,1.3317475356554973,1.0,4.33375,1.431359322088123,1.0,0.92125,0.4758960064221714,0.8442857142857143,0.0,0.0,0.0,0.0,0.0,0.0,17.921964285714285,1.8941120419066868,1.0,0.7089739501103939,0.0562104970649173
bind_099_binder,15.156071428571428,1.5791947298854436,1.0,2.519107142857143,1.03336789325299,0.9839285714285714,0.7244642857142857,1.0252045434289427,0.375,0.0,0.0,0.0,0.0,0.0,0.0,18.399642857142855,1.6548413435882543,1.0,0.8234297447923804,0.036981956076226
bind_100_binder,14.722678571428572,1.6135763197137023,1.0,0.4885714285714285,0.7034695357690353,0.3823214285714286,2.235,0.8745141508289045,0.9571428571428572,0.0001785714285714,0.0133618689118074,0.0001785714285714,0.0,0.0,0.0,17.446428571428573,1.7796432513402276,1.0,0.8455975749863456,0.0644865548788824
bind_101_binder,13.276428571428571,1.481679101284645,1.0,1.8916071428571428,0.7733514188852547,0.965,1.9723214285714288,0.7031446992705306,0.9880357142857142,0.0008928571428571,0.0298673726494245,0.0008928571428571,0.0,0.0,0.0,17.14125,1.651691300390516,1.0,0.7744929097294346,0.0429613758012213
