seq_id,seq_type,hydration_count_pocket_3A_mean,hydration_count_pocket_3A_std,hydration_count_pocket_3A_min,hydration_count_pocket_3A_max,hydration_count_pocket_3A_early20_mean,hydration_count_pocket_3A_late20_mean,hydration_count_pocket_3A_drift20,hydration_count_pocket_3A_slope,hydration_count_pocket_3A_slope_per_ns,hydration_count_pocket_4A_mean,hydration_count_pocket_4A_std,hydration_count_pocket_4A_min,hydration_count_pocket_4A_max,hydration_count_pocket_4A_early20_mean,hydration_count_pocket_4A_late20_mean,hydration_count_pocket_4A_drift20,hydration_count_pocket_4A_slope,hydration_count_pocket_4A_slope_per_ns,hydration_count_pocket_5A_mean,hydration_count_pocket_5A_std,hydration_count_pocket_5A_min,hydration_count_pocket_5A_max,hydration_count_pocket_5A_early20_mean,hydration_count_pocket_5A_late20_mean,hydration_count_pocket_5A_drift20,hydration_count_pocket_5A_slope,hydration_count_pocket_5A_slope_per_ns,hydration_count_pocket_6A_mean,hydration_count_pocket_6A_std,hydration_count_pocket_6A_min,hydration_count_pocket_6A_max,hydration_count_pocket_6A_early20_mean,hydration_count_pocket_6A_late20_mean,hydration_count_pocket_6A_drift20,hydration_count_pocket_6A_slope,hydration_count_pocket_6A_slope_per_ns,hydration_count_pocket_8A_mean,hydration_count_pocket_8A_std,hydration_count_pocket_8A_min,hydration_count_pocket_8A_max,hydration_count_pocket_8A_early20_mean,hydration_count_pocket_8A_late20_mean,hydration_count_pocket_8A_drift20,hydration_count_pocket_8A_slope,hydration_count_pocket_8A_slope_per_ns,n_frames
seq16_binder,Binder,14.560714285714285,2.378450769140385,7.0,21.0,14.553571428571429,15.026785714285714,0.4732142857142847,0.725935828877005,0.003463021246878977,57.246428571428574,5.405683658551111,43.0,76.0,55.651785714285715,59.714285714285715,4.0625,4.126508785332313,0.019685193966999713,99.54642857142858,6.24396749687575,82.0,124.0,98.39285714285714,101.98214285714286,3.5892857142857224,4.004316271963328,0.0191022839449652,150.5875,8.0115666940279,131.0,177.0,148.59821428571428,152.96428571428572,4.366071428571445,3.8919977081741743,0.01856647684281062,322.5964285714286,11.368722196788656,292.0,358.0,319.1517857142857,325.54464285714283,6.39285714285711,6.009167303284947,0.02866627216832415,560
seq14_binder,Binder,19.164285714285715,2.63590785197086,12.0,27.0,19.758928571428573,19.008928571428573,-0.75,-0.9012987012987002,-0.00429957639259965,72.04464285714286,5.506470857184337,59.0,89.0,74.69642857142857,72.13392857142857,-2.5625,-2.18187547746371,-0.010408469779194822,119.2625,6.235327420089043,103.0,140.0,121.95535714285714,117.91071428571429,-4.044642857142847,-3.1404316271963335,-0.014981188442200765,174.9125,7.545186793579069,147.0,200.0,178.42857142857142,173.41964285714286,-5.008928571428555,-4.397574484339191,-0.020978292113723016,358.3107142857143,10.973501826989358,322.0,394.0,363.60714285714283,355.41964285714283,-8.1875,-8.060580595874708,-0.03845238209123298,560
seq10_binder,Binder,17.369642857142857,2.898424426850434,10.0,27.0,17.151785714285715,20.232142857142858,3.0803571428571423,3.315106951871655,0.015814463694080655,62.25178571428572,5.225537944673686,47.0,78.0,61.44642857142857,65.15178571428571,3.705357142857139,3.7377578304048886,0.017830687324531372,105.96785714285714,6.345333131603131,89.0,126.0,103.45535714285714,110.39285714285714,6.9375,8.45695187165775,0.04034324089043651,158.26071428571427,7.887369617926873,135.0,186.0,154.73214285714286,164.02678571428572,9.294642857142861,12.265011459129099,0.058509297360186556,337.9714285714286,13.589356579503606,302.0,383.0,332.99107142857144,350.83035714285717,17.839285714285722,24.65427807486629,0.11761134442392988,560
seq17_binder,Binder,13.392857142857142,1.970121202114329,6.0,19.0,13.5,13.4375,-0.0625,0.2002291825821237,0.0009551779729618309,52.042857142857144,5.005527556856418,38.0,69.0,51.848214285714285,51.57142857142857,-0.2767857142857153,0.6033995416348361,0.0028784712779240827,91.95,5.464593828848189,77.0,108.0,90.80357142857143,90.69642857142857,-0.1071428571428612,0.911841100076393,0.004349868098158104,141.67142857142858,7.085642280740133,119.0,163.0,140.80357142857142,138.91071428571428,-1.8928571428571388,-2.4153552330022894,-0.011522267062622736,314.4982142857143,10.234919063666107,288.0,350.0,314.16964285714283,309.70535714285717,-4.464285714285666,-6.279278074866307,-0.02995481490693529,560
seq39_binder,Binder,17.0625,3.3792466668940113,9.0,29.0,15.4375,21.339285714285715,5.901785714285715,6.217016806722683,0.029657802298021178,63.198214285714286,7.658212003917022,44.0,87.0,58.285714285714285,72.04464285714286,13.758928571428577,17.507543926661562,0.08351839678789064,106.55178571428571,9.9143202899253,87.0,140.0,100.75892857142857,120.34821428571429,19.589285714285722,23.766214667685237,0.11337490598776509,159.7125,12.55222749867813,131.0,196.0,151.49107142857142,176.34821428571428,24.85714285714286,29.799789915966354,0.14215761438743654,341.3589285714286,17.142410615464318,302.0,395.0,329.9375,364.0357142857143,34.09821428571428,37.481035141329215,0.17880040616018728,560
seq42_binder,Binder,18.823214285714286,2.5197428349102675,12.0,26.0,18.419642857142858,19.116071428571427,0.6964285714285694,1.0983384262796014,0.005239539302466799,74.10178571428571,6.323877400982174,54.0,93.0,70.00892857142857,78.49107142857143,8.482142857142861,10.372593582887694,0.049481662887955635,123.26964285714286,8.515771495182527,104.0,150.0,115.88392857142857,131.94642857142858,16.062500000000014,19.54654316271961,0.09324528640534113,182.76607142857142,10.424931941979187,157.0,216.0,174.53571428571428,193.25892857142858,18.723214285714306,22.769576012223055,0.10862051764924542,385.2857142857143,15.493332996709867,353.0,428.0,372.5,402.30357142857144,29.803571428571445,35.53559969442319,0.16951985542956816,560
pair_3069_binder,Binder,22.117857142857144,3.654307983289681,11.0,32.0,18.883928571428573,24.883928571428573,6.0,7.915317035905264,0.037759413409208215,72.49642857142857,8.259193239002444,53.0,96.0,65.16071428571429,78.10714285714286,12.94642857142857,19.062184873949565,0.09093469230268136,118.36071428571428,9.547357124420586,92.0,144.0,110.33035714285714,123.82142857142857,13.49107142857143,20.957181054239843,0.09997462637681516,172.8625,10.8808820299643,140.0,204.0,165.51785714285714,178.91964285714286,13.401785714285722,21.907658517952612,0.10450880628719203,356.9660714285714,15.700566149775282,300.0,404.0,347.44642857142856,365.10714285714283,17.660714285714278,28.629927425515636,0.13657687501736748,560
pair_3070_binder,Binder,18.326785714285716,3.146766541764315,10.0,26.0,17.767857142857142,19.776785714285715,2.008928571428573,4.3210656990068745,0.020613312815775196,66.075,6.930116727526518,46.0,84.0,63.830357142857146,69.78571428571429,5.955357142857146,11.09606569900687,0.052932931181905195,110.13392857142857,8.763250717499478,87.0,132.0,106.47321428571429,115.58928571428571,9.116071428571416,16.238750954927415,0.07746571713739973,163.1,10.031236927005278,136.0,187.0,162.83035714285714,168.20535714285714,5.375,13.32731092436974,0.06357691556049969,349.83392857142854,14.187239950866743,307.0,388.0,351.5982142857143,356.42857142857144,4.830357142857167,14.90937738731855,0.07112404239627221,560
pair_3074_binder,Binder,20.34642857142857,3.200109612280843,12.0,30.0,17.339285714285715,22.6875,5.348214285714285,6.2094346829640905,0.02962163235761047,73.37678571428572,6.689210157074616,53.0,93.0,65.82142857142857,75.65178571428571,9.830357142857139,12.009568372803649,0.057290725690178484,121.61964285714286,7.922164198420448,96.0,145.0,112.15178571428571,123.44642857142857,11.294642857142861,12.563922841864002,0.059935231207461026,177.9,9.528753478663559,152.0,205.0,167.41964285714286,178.16964285714286,10.75,11.35420168067226,0.05416434910278956,372.5267857142857,12.877832435615705,334.0,412.0,361.2142857142857,372.19642857142856,10.982142857142833,10.52251718869366,0.050196861961567814,560
pair_3092_binder,Binder,19.039285714285715,2.700243280800862,11.0,26.0,19.008928571428573,19.044642857142858,0.0357142857142847,0.692895339954163,0.0033054041261975603,68.30357142857143,5.543076901019166,52.0,93.0,69.60714285714286,67.54464285714286,-2.0625,-1.5609625668449183,-0.007446452316493364,113.93035714285715,6.905262476723747,96.0,146.0,117.86607142857143,112.58035714285714,-5.285714285714292,-4.910370511841094,-0.023424546269963514,169.2267857142857,9.283260493094712,145.0,214.0,177.04464285714286,166.96428571428572,-10.080357142857139,-9.230576776165007,-0.04403375921843774,355.8767857142857,14.336921504974347,322.0,427.0,369.08035714285717,352.39285714285717,-16.6875,-15.273395721925125,-0.07286056396863509,560
