Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
bind_019_binder,Binder,0.31657,0.05123,0.393,0.07452,0.79175,0.12615,0.50131,0.11575
bind_020_binder,Binder,0.32443,0.07123,0.4536,0.09255,0.8695,0.19388,0.73654,0.32126
bind_022_binder,Binder,0.778,0.17382,0.3018,0.0452,0.898,0.21306,0.40223,0.09349
bind_034_binder,Binder,0.31329,0.05278,0.3216,0.05701,0.36713,0.05909,0.34954,0.06511
bind_041_binder,Binder,0.32371,0.06099,0.4712,0.16522,0.739,0.16381,0.56385,0.16742
bind_043_binder,Binder,0.29729,0.0454,0.3486,0.0696,0.93438,0.21443,0.72346,0.37487
bind_069_binder,Binder,0.29371,0.05433,0.3238,0.05497,1.02938,0.31968,0.53554,0.15103
bind_076_binder,Binder,0.32171,0.05386,0.3534,0.061,0.55888,0.07564,0.36246,0.07265
bind_080_binder,Binder,0.35671,0.09629,0.381,0.04229,0.61425,0.12334,0.33885,0.06455
bind_083_binder,Binder,0.34686,0.05445,0.4418,0.08556,0.55625,0.10014,0.50554,0.13638
bind_088_binder,Binder,0.49857,0.11121,0.4014,0.1141,0.6935,0.14369,0.428,0.12506
bind_099_binder,Binder,0.31957,0.07311,0.2994,0.04758,0.49425,0.10136,0.47069,0.11508
bind_100_binder,Binder,0.36986,0.05497,0.41,0.12601,0.56925,0.13687,0.82046,0.25487
bind_101_binder,Binder,0.395,0.06339,0.4708,0.12704,0.68712,0.1428,0.55062,0.1849
bind_102_binder,Binder,1.314,0.30488,0.5726,0.16466,0.651,0.15134,0.36231,0.1038
bind_110_binder,Binder,0.35971,0.06318,0.3934,0.12401,0.61762,0.12157,0.56785,0.17882
pair_3061_binder,Binder,0.34843,0.05943,0.3732,0.09704,0.47012,0.08275,0.49262,0.12932
pair_3078_binder,Binder,0.33243,0.07332,0.3214,0.04172,0.9145,0.23187,0.43323,0.09625
pair_3080_binder,Binder,0.34743,0.07984,0.347,0.04027,0.59488,0.11121,0.37208,0.09273
nonb_006_nb,False Positive,0.55157,0.11129,0.459,0.06389,0.73725,0.1339,0.33392,0.0718
nonb_008_nb,False Positive,0.549,0.12828,0.353,0.07469,0.5455,0.08043,0.45246,0.11074
nonb_009_nb,False Positive,0.52971,0.1386,0.3902,0.05894,0.57288,0.10064,0.30592,0.04041
nonb_010_nb,False Positive,0.46843,0.08701,0.6258,0.21576,0.61738,0.07366,0.58723,0.16382
nonb_011_nb,False Positive,0.37286,0.07182,0.8818,0.4281,0.54138,0.11292,0.71838,0.32277
nonb_013_nb,False Positive,0.501,0.12694,0.3212,0.08828,1.04262,0.27405,0.591,0.17313
nonb_014_nb,False Positive,0.41114,0.08705,0.3564,0.045,0.8355,0.22399,0.55392,0.22255
nonb_017_nb,False Positive,0.30429,0.05009,0.4074,0.11745,0.69175,0.07032,0.50908,0.12781
nonb_018_nb,False Positive,0.479,0.10478,0.8882,0.29954,0.6605,0.1315,0.53131,0.16275
nonb_019_nb,False Positive,0.286,0.05013,0.2796,0.07024,0.63162,0.10053,0.35062,0.07409
nonb_021_nb,False Positive,0.45371,0.10023,0.6406,0.04349,0.79912,0.15934,0.54254,0.11636
nonb_022_nb,False Positive,0.51457,0.12406,0.5152,0.18,1.027,0.13394,0.42792,0.07198
nonb_023_nb,False Positive,0.49243,0.08675,0.6882,0.29701,0.72775,0.11386,0.58462,0.14346
nonb_024_nb,False Positive,0.33343,0.06943,0.7978,0.4078,0.70225,0.16081,0.413,0.10083
nonb_025_nb,False Positive,0.58729,0.08792,0.3208,0.04347,0.59975,0.06207,0.54277,0.13573
nonb_026_nb,False Positive,0.73143,0.17672,0.697,0.24309,0.59013,0.129,0.70446,0.27341
nonb_029_nb,False Positive,0.419,0.08955,1.2246,0.60794,0.65775,0.1468,0.48254,0.1773
nonb_032_nb,False Positive,0.40686,0.10578,0.4736,0.18481,0.55163,0.10812,0.36485,0.10015
nonb_046_nb,False Positive,0.30614,0.0576,0.3688,0.03971,0.58337,0.12994,0.75492,0.30426
nonb_047_nb,False Positive,0.412,0.09724,0.3632,0.06751,0.7235,0.13743,0.44131,0.12941
nonb_048_nb,False Positive,1.10157,0.35961,0.3684,0.04174,0.625,0.111,0.508,0.16195
nonb_049_nb,False Positive,0.40986,0.06841,0.3284,0.08307,0.59325,0.11446,0.28508,0.04519
nonb_050_nb,False Positive,0.49929,0.16437,0.2872,0.06324,0.661,0.10558,0.409,0.08638
nonb_051_nb,False Positive,0.35386,0.06136,0.395,0.08692,0.505,0.09691,0.45162,0.14366
nonb_052_nb,False Positive,0.30914,0.05753,0.5056,0.2489,1.42188,0.18515,0.45008,0.11381
nonb_053_nb,False Positive,0.34157,0.05771,0.4376,0.15621,1.08088,0.1875,0.37923,0.05529
nonb_054_nb,False Positive,0.67314,0.22316,0.3036,0.01806,1.36888,0.2877,0.30977,0.07104
nonb_056_nb,False Positive,0.42914,0.08375,0.7034,0.29213,0.62938,0.13816,0.54538,0.16967
nonb_066_nb,False Positive,0.32186,0.04512,0.4406,0.08186,0.71862,0.13197,0.65754,0.14153
nonb_067_nb,False Positive,0.41957,0.0949,0.4038,0.03185,0.7975,0.18517,0.42,0.14646
nonb_068_nb,False Positive,0.33771,0.06891,0.4048,0.10392,0.69675,0.15471,0.58315,0.19559
nonb_071_nb,False Positive,0.31371,0.06646,0.4414,0.07991,0.59613,0.1222,0.56231,0.1498
nonb_072_nb,False Positive,0.50971,0.11343,0.4234,0.04133,0.61838,0.12397,0.35723,0.09697
nonb_073_nb,False Positive,0.35514,0.09965,0.4602,0.12689,0.6905,0.11809,0.59723,0.12156
nonb_074_nb,False Positive,0.27314,0.04922,0.3654,0.08457,0.88675,0.15082,0.56608,0.16254
nonb_075_nb,False Positive,0.99614,0.54658,0.4518,0.09081,0.56337,0.1213,0.77631,0.21317
nonb_080_nb,False Positive,0.305,0.04128,0.271,0.05477,0.83725,0.17201,0.57908,0.16699
nonb_081_nb,False Positive,0.47743,0.09712,0.2524,0.0342,1.20812,0.26399,0.68546,0.16159
nonb_082_nb,False Positive,0.45443,0.14618,0.463,0.05246,0.52875,0.10864,0.60946,0.1773
nonb_085_nb,False Positive,0.34271,0.06752,0.6928,0.196,0.66162,0.13854,0.70123,0.23376
nonb_086_nb,False Positive,0.423,0.11163,0.3362,0.0798,0.5725,0.12221,0.47062,0.10311
nonb_087_nb,False Positive,0.79229,0.44174,0.731,0.37109,0.8615,0.17154,0.40923,0.09796
nonb_088_nb,False Positive,0.48486,0.11546,0.4142,0.12689,0.56788,0.12442,0.80538,0.27088
nonb_089_nb,False Positive,0.40514,0.09794,0.595,0.13066,1.01775,0.11424,0.60377,0.17704
nonb_115_nb,False Positive,0.36729,0.07388,0.4108,0.1029,1.42525,0.35409,0.55962,0.12094
nonb_116_nb,False Positive,0.36886,0.07386,0.4572,0.09523,0.82263,0.12781,1.37831,0.52055
nonb_117_nb,False Positive,0.39271,0.06497,0.3522,0.09451,0.617,0.16104,0.64654,0.16834
pair_0091_nb,False Positive,0.41571,0.09219,0.605,0.15958,0.5955,0.09346,0.54015,0.12363
pair_0272_nb,False Positive,0.30514,0.06323,0.3484,0.06231,0.47788,0.10213,0.51008,0.12978
pair_0482_nb,False Positive,0.32971,0.0664,0.5298,0.12254,0.73025,0.22222,0.76615,0.21503
pair_0506_nb,False Positive,0.36471,0.07036,0.3812,0.08727,0.73012,0.10966,0.51354,0.12808
pair_0567_nb,False Positive,0.36843,0.07648,0.4394,0.09457,0.59088,0.12118,0.65162,0.2174
pair_0736_nb,False Positive,0.326,0.0569,0.3488,0.06263,0.55338,0.11323,0.62269,0.15933
pair_0782_nb,False Positive,0.32914,0.06227,0.46,0.07177,0.585,0.13016,0.57138,0.11727
pair_0811_nb,False Positive,0.57157,0.14317,0.4676,0.16454,0.5375,0.11544,0.73046,0.16619
pair_0822_nb,False Positive,0.34414,0.05552,0.3964,0.0484,0.75438,0.19125,0.46315,0.08271
pair_1654_nb,False Positive,0.32843,0.06483,0.2918,0.05462,0.78463,0.136,0.42223,0.06735
cdca_001_binder,Binder,0.49871,0.14508,0.4228,0.05629,0.71175,0.16929,0.53077,0.10858
glca_001_binder,Binder,0.45886,0.09725,0.4586,0.10584,1.52125,0.35104,0.58915,0.15163
lca3s_001_binder,Binder,0.33271,0.05262,0.3818,0.07193,0.8405,0.18455,0.55608,0.19077
lca_001_binder,Binder,0.46614,0.11814,0.6674,0.25571,0.71988,0.1704,0.48285,0.17648
pair_0008_low_pkt,Low Confidence,0.52343,0.10922,0.4736,0.16339,0.61663,0.13471,0.34785,0.08194
pair_0065_low_pkt,Low Confidence,0.65,0.1202,0.4148,0.02445,0.70575,0.14984,0.65346,0.41772
pair_0393_low_pkt,Low Confidence,0.34086,0.06815,0.3994,0.06165,0.4995,0.08984,0.32,0.06854
pair_0482_low_pkt,Low Confidence,0.38014,0.07013,0.4694,0.09295,1.22162,0.19417,0.481,0.15122
pair_0947_low_pkt,Low Confidence,0.41286,0.08932,0.2928,0.03559,0.595,0.1316,0.54931,0.14359
pair_0948_low_pkt,Low Confidence,0.36686,0.06966,0.4548,0.14976,0.70713,0.14102,0.62685,0.18098
pair_1331_low_pkt,Low Confidence,0.81014,0.25857,0.7338,0.23419,0.60237,0.09914,0.31108,0.04754
pair_1413_low_pkt,Low Confidence,0.40829,0.08882,0.9784,0.21693,0.747,0.13209,0.59962,0.22688
pair_1931_low_pkt,Low Confidence,0.35143,0.05224,0.355,0.06328,0.57088,0.09716,0.28515,0.06936
pair_0014_fail_gate,Fail Geometry,0.40171,0.09456,0.917,0.4364,0.69538,0.17184,0.58315,0.14756
pair_0263_fail_gate,Fail Geometry,0.31857,0.05867,0.3542,0.08803,0.72887,0.15772,0.5,0.17126
pair_0540_fail_gate,Fail Geometry,0.473,0.11053,0.3886,0.05464,0.5095,0.08877,0.305,0.05935
pair_0715_fail_gate,Fail Geometry,0.66314,0.26802,0.3894,0.08833,0.723,0.10443,0.36969,0.08912
pair_0997_fail_gate,Fail Geometry,0.45343,0.09882,0.979,0.48854,0.61237,0.13444,0.36485,0.08493
pair_1094_fail_gate,Fail Geometry,0.774,0.14957,0.4394,0.05145,0.54875,0.11912,0.57738,0.15965
pair_1682_fail_gate,Fail Geometry,0.86929,0.37805,0.4206,0.15313,0.71788,0.15805,0.63585,0.18868
pair_1739_fail_gate,Fail Geometry,0.37814,0.07928,0.3314,0.02071,0.64575,0.16145,0.59938,0.11526
pair_1745_fail_gate,Fail Geometry,0.32343,0.05386,0.3332,0.07265,0.7655,0.15196,0.66215,0.19694
pair_1941_fail_gate,Fail Geometry,0.30486,0.05004,0.4664,0.11903,0.5825,0.11001,0.56877,0.17637
