Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
seq16_binder,Binder,0.561,0.12082,0.0,,0.0,,0.0,
seq14_binder,Binder,0.3178,0.01448,0.0,,0.0,,0.0,
seq10_binder,Binder,0.735,0.12845,0.0,,0.0,,0.0,
seq17_binder,Binder,0.32375,0.0426,0.0,,0.0,,0.0,
seq39_binder,Binder,0.363,0.02787,0.0,,0.0,,0.0,
seq42_binder,Binder,0.0,,0.0,,0.0,,0.0,
pair_3069_binder,Binder,0.84,0.26287,0.0,,0.0,,0.0,
pair_3070_binder,Binder,0.6798,0.35314,0.0,,0.0,,0.0,
pair_3074_binder,Binder,0.66633,0.22304,0.0,,0.0,,0.0,
pair_3092_binder,Binder,0.66633,0.22304,0.0,,0.0,,0.0,
pair_3098_binder,Binder,0.5736,0.10248,0.0,,0.0,,0.0,
pair_3059_nb,False Positive,0.8609,0.31731,0.0,,0.0,,0.0,
pair_3062_binder,Binder,0.723,0.18272,0.0,,0.0,,0.0,
pair_3063_binder,Binder,0.85462,0.19191,0.0,,0.0,,0.0,
pair_3066_binder,Binder,0.996,0.42521,0.0,,0.0,,0.0,
pair_3067_binder,Binder,0.36857,0.03072,0.0,,0.0,,0.0,
pair_3068_binder,Binder,0.737,0.2491,0.0,,0.0,,0.0,
pair_3071_binder,Binder,0.845,0.46896,0.0,,0.0,,0.0,
pair_3072_binder,Binder,0.9475,0.1262,0.0,,0.0,,0.0,
pair_3073_binder,Binder,0.303,0.0,0.0,,0.0,,0.0,
pair_3075_binder,Binder,0.39575,0.05994,0.0,,0.0,,0.0,
pair_3076_binder,Binder,0.76217,0.09212,0.0,,0.0,,0.0,
pair_3077_binder,Binder,0.7155,0.23648,0.0,,0.0,,0.0,
pair_3078_binder,Binder,0.30243,0.06926,0.3214,0.03492,0.69862,0.12163,0.44546,0.1122
pair_3079_binder,Binder,0.52025,0.13042,0.0,,0.0,,0.0,
pair_3080_binder,Binder,0.33871,0.06879,0.391,0.07176,0.66187,0.14399,0.43677,0.14077
pair_3085_binder,Binder,0.42775,0.04093,0.0,,0.0,,0.0,
pair_3086_binder,Binder,0.5912,0.11212,0.0,,0.0,,0.0,
pair_3087_binder,Binder,0.73825,0.21623,0.0,,0.0,,0.0,
pair_3088_binder,Binder,0.78025,0.18721,0.0,,0.0,,0.0,
pair_3091_binder,Binder,0.028,0.0,0.0,,0.0,,0.0,
pair_3099_binder,Binder,0.677,0.14865,0.0,,0.0,,0.0,
pair_3100_binder,Binder,0.8846,0.21088,0.0,,0.0,,0.0,
pair_3101_binder,Binder,0.83925,0.11419,0.0,,0.0,,0.0,
pair_3103_binder,Binder,0.69957,0.15053,0.0,,0.0,,0.0,
pair_3104_binder,Binder,0.14,0.0,0.0,,0.0,,0.0,
pair_3108_binder,Binder,0.88717,0.13244,0.0,,0.0,,0.0,
seq1_nb,False Positive,0.88567,0.26155,0.0,,0.0,,0.0,
seq2_nb,False Positive,0.31783,0.05459,0.0,,0.0,,0.0,
seq3_nb,False Positive,0.93117,0.57332,0.0,,0.0,,0.0,
seq4_nb,False Positive,0.028,0.0,0.0,,0.0,,0.0,
seq5_nb,False Positive,0.8799,0.21977,0.0,,0.0,,0.0,
seq6_nb,False Positive,0.58417,0.24346,0.0,,0.0,,0.0,
seq7_nb,False Positive,0.5345,0.06563,0.0,,0.0,,0.0,
pair_0052_nb,False Positive,0.5802,0.19228,0.0,,0.0,,0.0,
pair_0091_nb,False Positive,0.35243,0.08461,0.511,0.17253,0.67012,0.10654,0.60677,0.16702
pair_0246_nb,False Positive,0.5865,0.15151,0.0,,0.0,,0.0,
pair_0269_nb,False Positive,0.262,0.06894,0.0,,0.0,,0.0,
pair_0272_nb,False Positive,0.322,0.07483,0.3734,0.07413,0.496,0.11377,0.56508,0.15935
pair_0276_nb,False Positive,0.89033,0.42565,0.0,,0.0,,0.0,
pair_0288_nb,False Positive,0.41378,0.08071,0.0,,0.0,,0.0,
pair_0351_nb,False Positive,0.79344,0.24965,0.0,,0.0,,0.0,
pair_0502_nb,False Positive,0.5386,0.12355,0.0,,0.0,,0.0,
pair_0506_nb,False Positive,0.36243,0.06301,0.4416,0.10482,0.67788,0.13515,0.54815,0.14452
pair_0647_nb,False Positive,0.76467,0.18095,0.0,,0.0,,0.0,
pair_0777_nb,False Positive,0.41467,0.07457,0.0,,0.0,,0.0,
pair_0827_nb,False Positive,0.37767,0.13034,0.0,,0.0,,0.0,
pair_1824_nb,False Positive,0.555,0.16719,0.0,,0.0,,0.0,
pair_1939_nb,False Positive,0.70517,0.13279,0.0,,0.0,,0.0,
pair_0822_nb,False Positive,0.33343,0.05488,0.4534,0.05623,0.618,0.10197,0.469,0.09371
pair_0865_nb,False Positive,0.635,0.21954,0.0,,0.0,,0.0,
pair_0867_nb,False Positive,0.58025,0.06424,0.0,,0.0,,0.0,
pair_1860_nb,False Positive,0.993,0.0,0.0,,0.0,,0.0,
pair_1965_nb,False Positive,,,0.39614,0.08095,0.3312,0.07032,0.6625,0.14822
pair_0341_nb,False Positive,0.21467,0.00839,0.0,,0.0,,0.0,
pair_0450_nb,False Positive,0.49867,0.13591,0.0,,0.0,,0.0,
pair_0549_nb,False Positive,0.86678,0.28413,0.0,,0.0,,0.0,
pair_0567_nb,False Positive,0.29,0.05664,0.4396,0.10171,0.55363,0.11644,0.635,0.1567
pair_0584_nb,False Positive,0.7015,0.08287,0.0,,0.0,,0.0,
pair_0602_nb,False Positive,0.3985,0.05496,0.0,,0.0,,0.0,
pair_0684_nb,False Positive,0.58417,0.21261,0.0,,0.0,,0.0,
pair_0736_nb,False Positive,0.31629,0.05126,0.3596,0.05747,0.53937,0.10917,0.49462,0.12492
pair_0748_nb,False Positive,0.28883,0.06651,0.0,,0.0,,0.0,
pair_0765_nb,False Positive,0.44475,0.14067,0.0,,0.0,,0.0,
pair_0776_nb,False Positive,0.327,0.02762,0.0,,0.0,,0.0,
pair_0782_nb,False Positive,0.31586,0.05949,0.5316,0.10209,0.60387,0.13905,0.43523,0.12015
pair_0811_nb,False Positive,0.44257,0.10908,0.47,0.17738,0.599,0.12926,0.64131,0.15884
pair_0868_nb,False Positive,0.3816,0.06221,0.0,,0.0,,0.0,
pair_0876_nb,False Positive,0.62186,0.17164,0.0,,0.0,,0.0,
pair_0878_nb,False Positive,0.48525,0.13659,0.0,,0.0,,0.0,
pair_0883_nb,False Positive,0.70686,0.31899,0.0,,0.0,,0.0,
pair_0891_nb,False Positive,0.76978,0.45621,0.0,,0.0,,0.0,
pair_0908_nb,False Positive,0.47571,0.12472,0.0,,0.0,,0.0,
pair_0932_nb,False Positive,0.60471,0.11922,0.0,,0.0,,0.0,
pair_0940_nb,False Positive,0.37614,0.08017,0.0,,0.0,,0.0,
pair_0974_nb,False Positive,0.69986,0.22329,0.0,,0.0,,0.0,
pair_0977_nb,False Positive,0.64867,0.17646,0.0,,0.0,,0.0,
pair_1011_nb,False Positive,0.4616,0.06731,0.0,,0.0,,0.0,
pair_1023_nb,False Positive,0.4015,0.11547,0.0,,0.0,,0.0,
pair_1102_nb,False Positive,1.08143,0.5749,0.0,,0.0,,0.0,
pair_1313_nb,False Positive,0.625,0.22751,0.0,,0.0,,0.0,
pair_1397_nb,False Positive,0.3882,0.03559,0.0,,0.0,,0.0,
pair_1654_nb,False Positive,0.312,0.05957,0.3146,0.05292,0.85575,0.15001,0.46454,0.08246
pair_1656_nb,False Positive,0.25967,0.05558,0.0,,0.0,,0.0,
pair_1658_nb,False Positive,0.6535,0.1594,0.0,,0.0,,0.0,
pair_1671_nb,False Positive,0.71458,0.23502,0.0,,0.0,,0.0,
